RGIId,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,Number_of_children
RGI60-01.03377,-132.7907031,57.50362021,0,0.079017827,0.010159633,0.079177693,0.011065758,0
RGI60-01.03622,-132.3543946,56.83647523,0,0.006336111,0.004527517,0.001872639,0.002419624,0
RGI60-01.03890,-133.1650937,57.93108275,0,0.001088621,0.004040536,0.002008503,0.001984226,2
RGI60-01.04375,-133.0667104,57.83221447,0,0.13280556,0.013807125,0.163653643,0.012002387,0
RGI60-01.09426,-148.715066,60.65459546,0,0.000401261,0.0017974,0.001414752,0.001991789,0
RGI60-01.09519,-148.6876627,60.64436078,0,3.54E-05,0.000579731,0.000499653,0.000580345,0
RGI60-01.09639,-148.4203895,60.27482589,0,0.248237573,0.010318519,0.213002183,0.00502582,0
RGI60-01.09757,-148.459265,60.17876837,0,0.012503304,0.007299761,0.005935843,0.003928834,0
RGI60-01.09783,-148.4513523,60.9713796,0,0.008938043,0.009218694,0.002026884,0.007203523,0
RGI60-01.09798,-148.4002522,60.11537258,0,0.005228572,0.003969956,0.009233019,0.004760854,0
RGI60-01.09810,-148.4432556,61.054887,0,0.00945803,0.016848352,0.025181312,0.006648178,0
RGI60-01.10188,-148.1768944,61.12122391,0,0.001425102,0.001147583,0.000455277,0.000659627,0
RGI60-01.10299,-148.1213569,61.12229795,0,0.000998665,0.000867436,0.000267351,0.000308231,0
RGI60-01.10325,-148.1259748,61.15105708,0,0.081581101,0.014313616,0.086623916,0.007766981,0
RGI60-01.10355,-147.8720572,61.18858959,0,0.000591106,0.000646247,0.0005418,0.00053242,0
RGI60-01.10402,-147.8117048,61.23271257,0,2.18E-06,0.001049629,0.000551682,0.001067683,0
RGI60-01.10431,-147.7765871,61.2530425,0,0.000122051,0.000598123,0.002280679,0.002007114,0
RGI60-01.10575,-147.6963016,61.28405419,1,0.583990232,0.01209326,0.53281923,0.01173715,0
RGI60-01.10607,-147.5099178,61.15144538,0,0.092871681,0.007610808,0.064834017,0.002976948,0
RGI60-01.10612,-147.6011344,61.23731813,1,0.177371274,0.005605712,0.16404958,0.003720615,0
RGI60-01.10689,-147.1073859,61.16032919,1,3.697672236,0.135515904,3.260109513,0.124633984,2
RGI60-01.10836,-146.6611201,61.16746518,0,0.003087306,0.003303237,0.002893234,0.002665454,0
RGI60-01.13638,-141.1640195,60.17803684,0,0.002462516,0.002781223,0.000420283,0.004084082,0
RGI60-01.14391,-139.6130252,60.02410257,0,0.022874149,0.023425972,0.011497908,0.011521477,0
RGI60-01.14443,-139.4705652,60.025163,1,4.235419925,0.054305109,3.664033378,0.055119422,2
RGI60-01.14683,-141.3705055,60.16133453,1,1.413485192,0.010791357,1.814598362,0.011858163,0
RGI60-01.14876,-141.5087831,60.06574504,0,0.001858291,0.002023371,0.001604931,0.001758692,0
RGI60-01.14878,-141.6004716,60.17324157,0,0.560663119,0.013807884,0.389525435,0.006211126,0
RGI60-01.17807,-149.7579498,59.95506147,0,0.207676761,0.009104924,0.183235944,0.004458471,0
RGI60-01.17840,-149.8808252,59.85591787,0,0.024103812,0.006256575,0.025369873,0.002527675,0
RGI60-01.17876,-150.2191396,59.7554022,0,0.023951685,0.013067175,0.013702042,0.004255328,0
RGI60-01.20470,-136.9296837,58.88750983,0,0.000843843,0.000867991,0.00164032,0.001261424,0
RGI60-01.20734,-137.1262432,58.83330219,0,0.18342446,0.008987921,0.147892448,0.005458007,0
RGI60-01.20791,-137.2799891,58.46857295,0,0.007688542,0.007850153,0.006458446,0.006658177,0
RGI60-01.20830,-137.1005999,58.83023438,0,0.000181383,0.000375546,0.00049358,0.000577711,0
RGI60-01.20891,-137.0751434,59.03899133,0,0.039271946,0.00702828,0.05099964,0.005130226,0
RGI60-01.20968,-136.0740411,59.04384667,0,0.004961839,0.00403942,0.011485219,0.012442134,0
RGI60-01.23642,-141.5468549,60.11508182,0,0.00230573,0.002330934,0.008034375,0.005929308,0
RGI60-01.24715,-148.7112446,60.67038233,0,0.000672423,0.000620394,0.000168135,0.000428185,0
RGI60-01.26732,-137.0640964,59.06897948,0,0.002045804,0.009533866,0.006955868,0.008012078,2
RGI60-03.00108,-76.14281502,80.89113547,1,0.046893233,0.013662562,0.037725498,0.011477097,0
RGI60-03.00113,-76.34143214,80.81656256,1,0.018190404,0.010174988,0.010916211,0.002660921,0
RGI60-03.00123,-77.91731246,80.55828612,1,0.02843129,0.005705819,0.007916763,0.003634484,0
RGI60-03.00175,-80.23799823,79.70629097,0,0.006910371,0.008239208,0.005958206,0.004022894,0
RGI60-03.00183,-79.64593172,79.68353223,1,0.035029564,0.011551098,0.068261543,0.015534724,0
RGI60-03.00191,-77.19185845,79.56514907,1,0.005831729,0.005831729,0.007909497,0.00191851,0
